parent_id,child_id,x1,y1,x2,y2
47,90,-7.9948375365,-0.6525447921,-4.4185330413,0.1264460059
47,93,-7.9948375365,-0.6525447921,-7.1904483238,-2.4331990035
93,95,-7.1904483238,-2.4331990035,-6.9685303778,-1.9556265846
26,60,-8.5431621310,-2.0047307070,-8.6629219347,-3.9641618328
4,19,-6.8816920355,-6.9920615372,-4.8130792635,-8.2265761580
19,27,-4.8130792635,-8.2265761580,-4.8640179238,-4.0008979170
27,35,-4.8640179238,-4.0008979170,-5.0619599759,-4.2973017200
27,38,-4.8640179238,-4.0008979170,-2.9008717336,-4.1271724711
19,32,-4.8130792635,-8.2265761580,-2.5215370639,-6.1783746146
32,51,-2.5215370639,-6.1783746146,-4.0331223114,-5.6816230787
51,59,-4.0331223114,-5.6816230787,-4.6872798701,-4.1642465974
32,54,-2.5215370639,-6.1783746146,-0.2521591123,-5.0817061006
54,57,-0.2521591123,-5.0817061006,-0.6643434012,-6.5550686403
57,64,-0.6643434012,-6.5550686403,-1.6785555574,-7.3192555165
64,70,-1.6785555574,-7.3192555165,-3.1278560092,-9.2103694469
70,87,-3.1278560092,-9.2103694469,-4.9771419517,-8.5544605081
64,74,-1.6785555574,-7.3192555165,-1.1479113675,-9.1877056189
57,68,-0.6643434012,-6.5550686403,-0.5699680422,-7.2287847089
54,83,-0.2521591123,-5.0817061006,0.6336014860,-5.9043240249
