parent_id,child_id,x1,y1,x2,y2
0,1,0.0000000000,0.0000000000,0.4075625308,2.7783165280
1,5,0.4075625308,2.7783165280,-0.6519095649,2.0445704237
5,9,-0.6519095649,2.0445704237,-1.4297606570,8.2304862785
9,30,-1.4297606570,8.2304862785,0.2579091071,8.7941122608
9,41,-1.4297606570,8.2304862785,-3.4676016278,4.7744355792
41,45,-3.4676016278,4.7744355792,-5.0352328434,2.5493148959
5,13,-0.6519095649,2.0445704237,-7.3001702397,1.5001617519
13,15,-7.3001702397,1.5001617519,-5.7215217295,-5.1759025339
15,18,-5.7215217295,-5.1759025339,-7.9797900272,-3.7233047624
18,33,-7.9797900272,-3.7233047624,-7.5240647036,-3.3501889246
33,44,-7.5240647036,-3.3501889246,-7.7085942112,-0.5565664687
44,49,-7.7085942112,-0.5565664687,-9.6077887898,2.2397133858
18,39,-7.9797900272,-3.7233047624,-6.8483824175,-4.7548460936
39,42,-6.8483824175,-4.7548460936,-6.3561145572,-6.5982029106
15,26,-5.7215217295,-5.1759025339,-6.7901592500,-4.4913955473
13,16,-7.3001702397,1.5001617519,-7.5418577425,5.5821542514
16,50,-7.5418577425,5.5821542514,-7.4536321114,4.7408105781
1,7,0.4075625308,2.7783165280,3.2899869295,0.0974175847
7,10,3.2899869295,0.0974175847,1.6316056399,2.4662962800
10,14,1.6316056399,2.4662962800,1.5867751984,3.1073922911
14,34,1.5867751984,3.1073922911,2.0739731156,3.2148248950
7,19,3.2899869295,0.0974175847,5.5879050286,1.3683004078
19,35,5.5879050286,1.3683004078,4.5258629390,1.4927613975
0,2,0.0000000000,0.0000000000,3.2373222770,-0.6492500243
2,3,3.2373222770,-0.6492500243,1.3036759809,-7.8482148973
3,6,1.3036759809,-7.8482148973,2.6969300642,-1.6586775294
6,11,2.6969300642,-1.6586775294,0.0783918472,-9.6741315442
11,17,0.0783918472,-9.6741315442,-3.0241174218,-8.6087167163
17,25,-3.0241174218,-8.6087167163,-1.7980796806,-7.1441620296
25,40,-1.7980796806,-7.1441620296,-2.4458332045,-7.8313196161
17,28,-3.0241174218,-8.6087167163,-2.7797312163,-8.5247949411
6,24,2.6969300642,-1.6586775294,0.7388895986,-2.1239481364
24,27,0.7388895986,-2.1239481364,0.8093961192,-4.0903294897
27,32,0.8093961192,-4.0903294897,0.4053648423,-4.8785188957
32,38,0.4053648423,-4.8785188957,-1.7636122889,-4.8420045128
38,43,-1.7636122889,-4.8420045128,-1.0294130682,-3.4896262146
24,31,0.7388895986,-2.1239481364,-3.2607715546,-0.0324680237
31,46,-3.2607715546,-0.0324680237,-1.7624542172,1.7039956021
31,48,-3.2607715546,-0.0324680237,-4.7072782995,-1.1005501780
3,8,1.3036759809,-7.8482148973,2.7987804510,-5.3668063578
8,36,2.7987804510,-5.3668063578,4.0321063316,-7.2722167416
2,4,3.2373222770,-0.6492500243,8.9331410355,-3.5619442694
4,12,8.9331410355,-3.5619442694,7.3066841333,-2.0464418512
12,20,7.3066841333,-2.0464418512,8.3212656706,-1.7151649165
20,21,8.3212656706,-1.7151649165,9.7096228784,1.6112525908
21,22,9.7096228784,1.6112525908,8.3822526682,2.5084033201
22,29,8.3822526682,2.5084033201,6.8693987266,4.1961513619
29,37,6.8693987266,4.1961513619,4.3485993679,7.2419470815
4,23,8.9331410355,-3.5619442694,6.2444462330,-3.0475079981
23,47,6.2444462330,-3.0475079981,6.8254767157,-5.0072178408
