parent_id,child_id,x1,y1,x2,y2
0,1,0.0000000000,0.0000000000,7.8581813061,0.9715221873
1,6,7.8581813061,0.9715221873,1.4906688740,-8.3196159258
6,8,1.4906688740,-8.3196159258,-5.4235112273,-7.5314806204
1,7,7.8581813061,0.9715221873,9.2709967025,-3.3432965881
7,9,9.2709967025,-3.3432965881,7.4114018946,-3.8816559007
0,2,0.0000000000,0.0000000000,0.8153532775,1.2440959230
2,3,0.8153532775,1.2440959230,-9.3654106089,3.3606433744
3,4,-9.3654106089,3.3606433744,-5.7069741169,7.9740594970
3,10,-9.3654106089,3.3606433744,-1.7177952881,1.7369437831
2,5,0.8153532775,1.2440959230,0.7728337081,6.2514716369
